experiment_id,run_id,r2_family,dataset_id,spatial_resolution,temporal_mode,technology_set,storage_model,storage_model_label,flex_case,network_mode,grid_carbon_scenario,fixed_baseline_reference_ton,fixed_baseline_cap_ratio,co2_cap_ton_config,bess_calendar_ageing_cost_yuan_per_kwh_year,dr_ramp_fraction_per_h,thermal_ramp_fraction_per_h,solver_status,is_valid_result,invalid_reason,runtime_seconds,git_commit,pv_mw,wind_mw,bess_power_mw,bess_energy_mwh,ldes_power_mw,ldes_energy_mwh,grid_expansion_mw,total_grid_interface_mw,E_ref_grid_only_ton,E_lc_unconstrained_ton,E_min_techset_ton,co2_cap_ratio,co2_cap_ton,actual_emissions_ton,reduction_vs_grid_only,reduction_vs_unconstrained_lc,cap_violation_ton,cap_violation_ratio,pv_cost,wind_cost,bess_power_cost,bess_energy_cost,bess_degradation_cost,bess_replacement_proxy_cost,ldes_power_cost,ldes_energy_cost,grid_purchase_cost,grid_expansion_cost,demand_response_cost,ev_flexibility_cost,thermal_flexibility_cost,load_shedding_penalty,total_system_cost,pv_curtailment_mwh,wind_curtailment_mwh,pv_generation_mwh,wind_generation_mwh,bess_charge_mwh,bess_discharge_mwh,bess_throughput_mwh,bess_equivalent_full_cycles,bess_cycling_degradation_cost_yuan,bess_calendar_ageing_cost_yuan,bess_average_duration_h,bess_max_duration_h,ldes_charge_mwh,ldes_discharge_mwh,ldes_equivalent_full_cycles,grid_import_mwh,peak_grid_import_mw,DR_shifted_mwh,DR_peak_reduction_mw,thermal_shifted_mwh,thermal_peak_reduction_mw,EV_charge_mwh,EV_discharge_mwh,co2_cap_mt,actual_emissions_mt,total_system_cost_billion_cny,fixed_cap_ratio_check
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0001_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix1p00,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,1.0,4827227.355775566,12.0,0.05,0.05,optimal,True,,4.1639922999893315,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,1.0,4827227.355775566,2411564.955516815,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,556178.224422632,111687.24117212604,2710201.045091268,1210622.4989647116,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2067.2372649295708,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,2.4115649555168153,5.212000088506674,1.0
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0002_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p40,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,41.65376889999607,873f2d9,3467.4239660176904,522.2802722305886,1264.697682168321,5014.923457903852,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.4,1930890.9423102264,1930890.942310226,0.6000000000000001,0.1993203675094779,0.0,0.0,1616282785.0120828,539132784.8937669,123300335.36591004,838156370.1459045,254925781.58647788,0.0,0.0,0.0,1999129126.3625104,0.0,0.0,0.0,0.0,0.0,5370927183.3666525,689810.1404191359,126582.87758260289,3442268.0341394586,1272381.574742758,1882295.6415356284,2012638.3602970045,3894934.001832633,501.66228288214273,194746700.09163165,60179081.49484623,3.96531402612028,4.0,0.0,0.0,0.0,3229994.885095728,2013.4517532876528,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102263,1.9308909423102258,5.3709271833666525,0.4
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0003_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p25,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.25,1206806.8389438915,12.0,0.05,0.05,optimal,True,,25.475347100000363,873f2d9,4772.042311790851,512.293663525492,2922.244226186648,11688.97690474659,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.25,1206806.8389438917,1206806.8389438947,0.7499999999999993,0.4995752296934221,3.2596290111541752e-09,2.7010362437179777e-15,2224409219.49187,528823936.4667945,284901046.4636505,1953607175.7507465,397912571.1836051,0.0,0.0,0.0,1206123896.9356756,0.0,0.0,0.0,0.0,0.0,6595777846.292342,887210.3376036449,186121.11160005664,4799562.343750234,1186093.506736658,2541156.2037326624,2611740.7628002563,5152896.966532919,279.2952693896264,257644848.326646,140267722.85695907,4.0,4.0,0.0,0.0,0.0,2018746.8031848352,2136.097314570276,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438917,1.2068068389438946,6.595777846292342,0.25
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0004_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p15,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.15,724084.1033663348,12.0,0.05,0.05,optimal,True,,31.583389499981422,873f2d9,5126.384889924386,856.6098581920811,7007.022322965783,28028.089291863133,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.15,724084.1033663348,724084.1033663363,0.8499999999999996,0.6997451378160535,1.5133991837501524e-09,2.090087569543673e-15,2389580197.9031987,884250244.4944991,683142077.7626697,4684402818.94402,654135154.2962382,0.0,0.0,0.0,787447827.637323,0.0,0.0,0.0,0.0,0.0,10082958321.037949,921577.5832935072,689422.3393297273,5187459.940136776,1605067.4295526529,3142374.9473693105,3213586.708508301,6355961.6558776125,143.3199153822288,317798082.79388064,336337071.5023576,4.0,4.0,0.0,0.0,0.0,1211248.0819109003,1552.9649630944866,0.0,0.0,0.0,0.0,0.0,0.0,0.7240841033663348,0.7240841033663363,10.082958321037948,0.15
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0005_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_baseline_capfix0p14,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,baseline,4827227.355775566,0.14,675811.8298085793,12.0,0.05,0.05,optimal,True,,29.91206480000983,873f2d9,5126.223180569199,856.7612389004349,7817.268834873625,31269.0753394945,0.0,0.0,0.0,3851.261635805,4827227.355775566,2411564.955516815,674001.4173518054,0.14,675811.8298085793,675811.8298085812,0.8599999999999997,0.7197621286283165,1.862645149230957e-09,2.756159432365283e-15,2389504819.740757,884406509.8317392,762136186.8338677,5226076709.717951,707664593.1833723,0.0,0.0,0.0,753093814.8733249,0.0,0.0,0.0,0.0,0.0,10722882634.181011,759490.914618606,639606.194711231,5349353.902149979,1655289.058048322,3354433.869715627,3294279.912473139,6648713.782188766,131.69081099722706,332435689.1094383,375228904.073934,4.0,4.0,0.0,0.0,0.0,1130498.2097835082,1411.0084193446844,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085811,10.722882634181012,0.14
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0006_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix1p00,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2030,4827227.355775566,1.0,4827227.355775566,12.0,0.05,0.05,optimal,True,,4.007551999995485,873f2d9,2740.974706371748,493.66250150522615,811.9421153082155,2938.0663629606547,0.0,0.0,0.0,3851.261635805,3875993.8621148737,1936351.9214588008,541185.480643805,1.2454166666666666,4827227.355775566,1936351.9214588008,0.5004244097532544,0.0,0.0,0.0,1277660382.8894465,509591599.34846246,79159420.09442632,491046186.18769264,174739828.9203869,0.0,0.0,0.0,2679802671.0662584,0.0,0.0,0.0,0.0,0.0,5212000088.506674,560361.1152445911,107504.35035016682,2706018.154269309,1214805.389786671,1334781.7428265042,1454878.9084706767,2789660.651297181,618.9780661576907,139483032.56485906,35256796.355527855,3.618566283934362,4.0,0.0,0.0,0.0,4034066.503039168,2070.156930450846,0.0,0.0,0.0,0.0,0.0,0.0,4.827227355775566,1.9363519214588008,5.212000088506674,1.0
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0007_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p40,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2030,4827227.355775566,0.4,1930890.9423102264,12.0,0.05,0.05,optimal,True,,10.959355900005903,873f2d9,2751.0506273849896,493.8148896054387,815.6864475057871,2963.20814754853,0.0,0.0,0.0,3851.261635805,3875993.8621148737,1936351.9214588008,541185.480643805,0.4981666666666667,1930890.9423102264,1930890.942310224,0.5018333333333339,0.002820241035763,0.0,0.0,1282357108.1345994,509748904.5832579,79524469.72027083,495248193.8725661,176017804.32096314,0.0,0.0,0.0,2669143071.241936,0.0,0.0,0.0,0.0,0.0,5212039551.873593,562558.3900099356,107401.60198312516,2715828.206475061,1215316.3204008506,1344016.454145254,1465169.6768623611,2809186.131007615,618.0673124812796,140459306.55038077,35558497.77058237,3.63277844888738,4.0,0.0,0.0,0.0,4022689.463146301,2061.2005715886235,0.0,0.0,0.0,0.0,0.0,0.0,1.9308909423102263,1.930890942310224,5.212039551873593,0.4
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0008_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p25,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2030,4827227.355775566,0.25,1206806.8389438915,12.0,0.05,0.05,optimal,True,,40.770641100010835,873f2d9,4219.321537302055,527.8948434923701,2086.577110859444,8346.308443437774,0.0,0.0,0.0,3851.261635805,3875993.8621148737,1936351.9214588008,541185.480643805,0.3113541666666666,1206806.8389438917,1206806.8389438945,0.6886458333333326,0.3767626506473497,2.7939677238464355e-09,2.3151739231868377e-15,1966767500.0251856,544928522.5489935,203428583.10193363,1394938855.556116,361936474.5307801,0.0,0.0,0.0,1415374688.37857,0.0,0.0,0.0,0.0,0.0,5887374624.141579,707316.5533558181,132690.77292257966,4320786.905176338,1281312.7035204915,2638454.3873072453,2597161.076883289,5235615.464190534,388.9685323883052,261780773.20952675,100155701.3212533,4.0,4.0,0.0,0.0,0.0,2514180.9144664463,2281.312714415932,0.0,0.0,0.0,0.0,0.0,0.0,1.2068068389438917,1.2068068389438944,5.887374624141579,0.25
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0009_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p15,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2030,4827227.355775566,0.15,724084.1033663348,12.0,0.05,0.05,optimal,True,,26.493570399994496,873f2d9,5086.6489385404775,666.3704286235217,4470.539533262979,17882.158133051915,0.0,0.0,0.0,3851.261635805,3875993.8621148737,1936351.9214588008,541185.480643805,0.1868125,724084.1033663348,724084.1033663355,0.8131874999999998,0.6260575903884104,6.984919309616089e-10,9.646558013278493e-16,2371057936.190377,687872324.6051248,435850426.1451801,2988688636.4240923,497595405.5984986,0.0,0.0,0.0,941501956.63867,0.0,0.0,0.0,0.0,0.0,7922566685.601943,1275087.3614656013,393757.5103312368,4786597.412757224,1391162.5628388615,2635735.7357870718,3024454.4242504416,5660190.160037513,211.41564693611335,283009508.00187564,214585897.5966229,4.0,4.000000000000001,0.0,0.0,0.0,1508508.5486798657,1806.5901913646355,0.0,0.0,0.0,0.0,0.0,0.0,0.7240841033663348,0.7240841033663356,7.922566685601943,0.15
R2A_fixed_absolute_cap_core,r2_R2A_fixed_absolute_cap_core_0010_k100_repday_opt_base_with_storage_degradation_liion_4h_with_degradation_2030_capfix0p14,R2A_fixed_absolute_cap_core,xinwu_k100,k100,repday_opt,base_with_storage_degradation,liion_4h_with_degradation,liion_4h_with_degradation,,node_interface,2030,4827227.355775566,0.14,675811.8298085793,12.0,0.05,0.05,optimal,True,,34.92611930001294,873f2d9,5126.507041934352,856.4955082351825,5101.658028321138,20406.63211328455,0.0,0.0,0.0,3851.261635805,3875993.8621148737,1936351.9214588008,541185.480643805,0.1743583333333333,675811.8298085793,675811.8298085792,0.8256416666666666,0.6509870843625167,0.0,0.0,2389637137.0582595,884132204.7867155,497380642.5704069,3410610120.48279,535137836.0813735,0.0,0.0,0.0,874202941.1595775,0.0,0.0,0.0,0.0,0.0,8591100882.139124,1307668.2061912057,779019.321175449,4801514.883993911,1515164.1533026972,2727399.075548835,3077765.9388903407,5805165.014439177,188.52730829152475,290258250.7219588,244879585.3594146,4.0,4.0,0.0,0.0,0.0,1407941.312101207,1747.265926559557,0.0,0.0,0.0,0.0,0.0,0.0,0.6758118298085793,0.6758118298085791,8.591100882139123,0.14
